equipment,level,equipment_price_e,start_star,target_star,start_mode,policy,breakthrough,breakthrough_scrolls,rebuild_cost_e,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,rebuild_cost_mean_e,equipment_qty_mean,scrolls_mean,breakthroughs_mean,destroys_mean,attempts_mean
頂培,150,1.5,22,23,owned,full,none,,0.0,50000,130.4129,1.603,4.8091,185.4122,367.6182,126.1961,4.2168,0.0,2.8112,0.0,0.0,0.7028,5.7537
頂培,150,1.5,22,23,owned,to_12,none,,234.9799,50000,170.8098,1.603,4.8091,242.8921,482.5781,4.6117,1.0542,165.1439,0.7028,0.0,0.0,0.7028,5.7537
神秘,200,0.5,22,23,owned,full,none,,0.0,50000,300.4849,3.7998,11.3993,427.1991,846.7986,299.0793,1.4056,0.0,2.8112,0.0,0.0,0.7028,5.7537
神秘,200,0.5,22,23,owned,to_12,none,,399.1514,50000,291.8063,3.7998,11.3993,414.8505,822.1014,10.9313,0.3514,280.5236,0.7028,0.0,0.0,0.7028,5.7537
永恆上四,250,0.5,22,23,owned,full,none,,0.0,50000,592.8153,9.8952,29.6856,842.5808,1665.3712,591.4097,1.4056,0.0,2.8112,0.0,0.0,0.7028,5.7537
永恆上四,250,0.5,22,23,owned,to_12,none,,501.1955,50000,381.0585,9.8952,29.6856,541.2763,1062.7622,28.4669,0.3514,352.2402,0.7028,0.0,0.0,0.7028,5.7537
永恆下三,250,11.0,22,23,owned,full,none,,0.0,50000,622.3329,9.8952,29.6856,884.5808,1749.3712,591.4097,30.9232,0.0,2.8112,0.0,0.0,0.7028,5.7537
永恆下三,250,11.0,22,23,owned,to_12,none,,512.9742,50000,396.716,9.8952,29.6856,563.555,1107.3196,28.4669,7.7308,360.5183,0.7028,0.0,0.0,0.7028,5.7537
口紅,160,14.0,22,23,owned,full,none,,0.0,50000,192.5417,1.9455,5.8365,273.782,543.673,153.1849,39.3568,0.0,2.8112,0.0,0.0,0.7028,5.7537
口紅,160,14.0,22,23,owned,to_12,none,,339.5116,50000,254.0449,1.9455,5.8365,361.2936,718.6962,5.5969,9.8392,238.6088,0.7028,0.0,0.0,0.7028,5.7537
眼罩,160,30.0,22,23,owned,full,none,,0.0,50000,237.5209,1.9455,5.8365,337.782,671.673,153.1849,84.336,0.0,2.8112,0.0,0.0,0.7028,5.7537
眼罩,160,30.0,22,23,owned,to_12,none,,388.4582,50000,299.6893,1.9455,5.8365,426.2402,848.5894,5.5969,21.084,273.0084,0.7028,0.0,0.0,0.7028,5.7537
苦痛,160,45.0,22,23,owned,full,none,,0.0,50000,279.6889,1.9455,5.8365,397.782,791.673,153.1849,126.504,0.0,2.8112,0.0,0.0,0.7028,5.7537
苦痛,160,45.0,22,23,owned,to_12,none,,434.3456,50000,342.481,1.9455,5.8365,487.1276,970.3642,5.5969,31.626,305.2581,0.7028,0.0,0.0,0.7028,5.7537
巨大,200,35.0,22,23,owned,full,none,,0.0,50000,397.4713,3.7998,11.3993,565.1991,1122.7986,299.0793,98.392,0.0,2.8112,0.0,0.0,0.7028,5.7537
巨大,200,35.0,22,23,owned,to_12,none,,504.6924,50000,390.2272,3.7998,11.3993,554.8915,1102.1834,10.9313,24.598,354.6978,0.7028,0.0,0.0,0.7028,5.7537
控制核心,200,220.0,22,23,owned,full,none,,0.0,50000,917.5433,3.7998,11.3993,1305.1991,2602.7986,299.0793,618.464,0.0,2.8112,0.0,0.0,0.7028,5.7537
控制核心,200,220.0,22,23,owned,to_12,none,,716.0556,50000,668.7912,3.7998,11.3993,951.2547,1894.9098,10.9313,154.616,503.2439,0.7028,0.0,0.0,0.7028,5.7537
頂培,150,1.5,22,24,owned,full,none,,0.0,50000,797.7663,187.4056,552.3058,1109.539,2007.6288,771.8602,25.9061,0.0,17.2707,0.0,0.0,4.3177,29.6344
頂培,150,1.5,22,24,owned,to_12,none,,234.9799,50000,1045.9462,244.8855,724.7455,1454.4185,2639.9079,24.9016,6.4765,1014.5681,4.3177,0.0,0.0,4.3177,29.6344
頂培,150,1.5,23,24,owned,full,none,,0.0,50000,668.2045,4.4956,371.0964,929.0129,1830.6223,646.489,21.7154,0.0,14.477,0.0,0.0,3.6192,23.968
頂培,150,1.5,23,24,owned,to_12,none,,234.9799,50000,876.2381,4.4956,486.0563,1216.4124,2405.4214,20.3605,5.4289,850.4487,3.6192,0.0,0.0,3.6192,23.968
神秘,200,0.5,22,24,owned,full,none,,0.0,50000,1837.9097,431.9243,1272.2801,2556.24,4623.564,1829.2744,8.6354,0.0,17.2707,0.0,0.0,4.3177,29.6344
神秘,200,0.5,22,24,owned,to_12,none,,399.1514,50000,1784.5923,419.5757,1235.2343,2482.1482,4487.7291,59.0256,2.1588,1723.4079,4.3177,0.0,0.0,4.3177,29.6344
神秘,200,0.5,23,24,owned,full,none,,0.0,50000,1539.3885,10.6562,855.0432,2140.6225,4216.2892,1532.15,7.2385,0.0,14.477,0.0,0.0,3.6192,23.968
神秘,200,0.5,23,24,owned,to_12,none,,399.1514,50000,1494.6958,10.6562,830.3459,2078.8794,4092.803,48.2616,1.8096,1444.6246,3.6192,0.0,0.0,3.6192,23.968
永恆上四,250,0.5,22,24,owned,full,none,,0.0,50000,3620.809,854.886,2503.4792,5037.3743,9071.4472,3612.1736,8.6354,0.0,17.2707,0.0,0.0,4.3177,29.6344
永恆上四,250,0.5,22,24,owned,to_12,none,,501.1955,50000,2319.8726,553.5815,1599.5657,3229.5473,5757.0977,153.712,2.1588,2164.0018,4.3177,0.0,0.0,4.3177,29.6344
永恆上四,250,0.5,23,24,owned,full,none,,0.0,50000,3031.9305,27.7504,1686.8414,4224.9538,8280.7524,3024.6921,7.2385,0.0,14.477,0.0,0.0,3.6192,23.968
永恆上四,250,0.5,23,24,owned,to_12,none,,501.1955,50000,1941.4372,27.7504,1084.2324,2718.4313,5267.7074,125.6808,1.8096,1813.9468,3.6192,0.0,0.0,3.6192,23.968
永恆下三,250,11.0,22,24,owned,full,none,,0.0,50000,3802.1516,896.886,2629.4792,5289.3743,9533.4472,3612.1736,189.9779,0.0,17.2707,0.0,0.0,4.3177,29.6344
永恆下三,250,11.0,22,24,owned,to_12,none,,512.9742,50000,2416.0648,575.8602,1666.4018,3363.2194,6002.1633,153.712,47.4945,2214.8584,4.3177,0.0,0.0,4.3177,29.6344
永恆下三,250,11.0,23,24,owned,full,none,,0.0,50000,3183.9386,27.7504,1770.8414,4434.9538,8700.7524,3024.6921,159.2466,0.0,14.477,0.0,0.0,3.6192,23.968
永恆下三,250,11.0,23,24,owned,to_12,none,,512.9742,50000,2022.0692,27.7504,1128.7898,2829.8248,5490.4943,125.6808,39.8116,1856.5767,3.6192,0.0,0.0,3.6192,23.968
口紅,160,14.0,22,24,owned,full,none,,0.0,50000,1178.7241,276.2013,816.5755,1639.1311,2972.881,936.934,241.7901,0.0,17.2707,0.0,0.0,4.3177,29.6344
口紅,160,14.0,22,24,owned,to_12,none,,339.5116,50000,1556.5714,363.7129,1079.1104,2164.2009,3935.509,30.2212,60.4475,1465.9026,4.3177,0.0,0.0,4.3177,29.6344
口紅,160,14.0,23,24,owned,full,none,,0.0,50000,987.4279,5.456,547.8942,1371.2789,2709.3003,784.7504,202.6774,0.0,14.477,0.0,0.0,3.6192,23.968
口紅,160,14.0,23,24,owned,to_12,none,,339.5116,50000,1304.1535,5.456,722.9175,1808.8371,3584.4167,24.71,50.6694,1228.7741,3.6192,0.0,0.0,3.6192,23.968
眼罩,160,30.0,22,24,owned,full,none,,0.0,50000,1455.0556,340.2013,1008.5755,2023.1311,3676.881,936.934,518.1216,0.0,17.2707,0.0,0.0,4.3177,29.6344
