equipment,level,equipment_price_e,start_star,target_star,start_mode,policy,breakthrough,breakthrough_scrolls,rebuild_cost_e,trials,total_cost_mean_e,total_cost_p25_e,total_cost_p50_e,total_cost_p75_e,total_cost_p90_e,meso_mean_e,equipment_cost_mean_e,rebuild_cost_mean_e,equipment_qty_mean,scrolls_mean,breakthroughs_mean,destroys_mean,attempts_mean
頂培,150,1.5,15,22,scroll,full,none,enhance throughout,0.0,50000,249.0039,115.695,210.7704,341.0953,486.5747,240.7518,8.2521,0.0,5.5014,1.0,0.0,3.101,40.0237
頂培,150,1.5,15,22,scroll,to_12,none,enhance throughout,0.0,50000,246.1855,87.3759,176.3627,333.9314,537.2391,230.7857,15.3997,0.0,10.2665,11.2665,0.0,10.2665,178.0421
頂培,150,1.5,16,22,scroll,full,none,enhance throughout,0.0,50000,247.8494,116.1011,210.6828,338.084,483.2832,239.7018,8.1476,0.0,5.4317,1.0,0.0,3.0293,36.7121
頂培,150,1.5,16,22,scroll,to_12,none,enhance throughout,0.0,50000,234.9799,83.8423,169.5504,317.5127,515.0505,220.7566,14.2233,0.0,9.4822,10.4822,0.0,9.4822,142.2901
頂培,150,1.5,17,22,scroll,full,none,enhance throughout,0.0,50000,254.9801,123.2574,217.824,345.1865,492.8839,246.9018,8.0783,0.0,5.3855,1.0,0.0,2.9714,33.3824
頂培,150,1.5,17,22,scroll,to_12,none,enhance throughout,0.0,50000,300.0086,105.9283,215.1117,404.524,657.6098,286.7264,13.2822,0.0,8.8548,9.8548,0.0,8.8548,110.2849
頂培,150,1.5,18,22,scroll,full,none,enhance throughout,0.0,50000,250.5827,117.3314,211.677,341.106,485.5587,243.2026,7.38,0.0,4.92,1.0,0.0,2.5078,26.6673
頂培,150,1.5,18,22,scroll,to_12,none,enhance throughout,0.0,50000,279.3698,100.2053,200.7082,375.0716,609.7646,270.6309,8.7389,0.0,5.8259,6.8259,0.0,5.8259,65.5262
頂培,150,1.5,19,22,scroll,full,none,enhance throughout,0.0,50000,246.1606,114.784,203.1513,330.0327,475.1688,239.8102,6.3504,0.0,4.2336,1.0,0.0,1.8277,18.3601
頂培,150,1.5,19,22,scroll,to_12,none,enhance throughout,0.0,50000,282.6306,111.7845,205.5229,376.7694,602.869,278.0419,4.5887,0.0,3.0592,4.0592,0.0,3.0592,31.6665
頂培,150,1.5,20,22,scroll,full,none,enhance throughout,0.0,50000,333.7241,220.6661,322.0722,359.913,499.2765,330.0752,3.6489,0.0,2.4326,1.0,0.0,0.9293,8.3551
頂培,150,1.5,20,22,scroll,to_12,none,enhance throughout,0.0,50000,468.9904,220.6661,437.6557,658.6844,885.9177,467.3077,1.6827,0.0,1.1218,2.1218,0.0,1.1218,10.2645
神秘,200,0.5,15,22,scroll,full,none,enhance throughout,0.0,50000,572.6312,266.6946,485.0211,783.8265,1117.6472,569.8805,2.7507,0.0,5.5014,1.0,0.0,3.101,40.0237
